,"crude prevalence rate | per 1000 | Model-based estimate for crude prevalence of mental health not good for >=14 days among adults aged >=18 years, 2020",population | individuals | Total Population of Census 2010,Location
20440,14.1,12335,"Creedmoor, North Carolina"
20441,14.1,16381,"Gorham, Maine"
20442,14.1,7462,"Muleshoe, Texas"
20443,14.1,120,"Solano, New Mexico"
20444,14.1,405,"Idalia, Colorado"
20445,14.1,3493,"Sedgwick, Kansas"
20446,14.1,268,"Elk Mountain, Wyoming"
20447,14.1,720,"Benson, Illinois"
20448,14.1,35750,"Wentzville, Missouri"
20449,14.1,1379,"Yermo, California"
20450,14.1,2093,"Waverly, Illinois"
20451,14.1,1011,"Cedar Valley, Utah"
20452,14.1,6154,"Petersburg, Illinois"
20453,14.1,27722,"Greenville, South Carolina"
20454,14.1,14051,"Brookings, Oregon"
20455,14.1,1469,"Hickory, Pennsylvania"
20456,14.1,234,"Alden, Kansas"
20457,14.1,1780,"Gordonville, Texas"
20458,14.1,21219,"Apache Junction, Arizona"
20459,14.1,935,"Rio Oso, California"
20460,14.1,2664,"Bethel, Vermont"
20461,14.1,16123,"Denver, Colorado"
20462,14.1,27400,"Casper, Wyoming"
20463,14.1,5205,"Blanco, Texas"
20464,14.1,4867,"East Dubuque, Illinois"
20465,14.1,534,"Baileyville, Illinois"
20466,14.1,1125,"Avoca, Wisconsin"
20467,14.1,1003,"Chamisal, New Mexico"
20468,14.1,37980,"Baton Rouge, Louisiana"
20469,14.1,4718,"Borden, Indiana"
20470,14.1,260,"Helmville, Montana"
20471,14.1,1491,"Bennington, New Hampshire"
20472,14.1,817,"Coeymans Hollow, New York"
20473,14.1,5384,"Staples, Minnesota"
20474,14.1,1679,"Pattersonville, New York"
20475,14.1,24851,"Mandeville, Louisiana"
20476,14.1,273,"North Fork, Idaho"
20477,14.1,776,"Sweetser, Indiana"
20478,14.1,89,"Friedensburg, Pennsylvania"
20479,14.1,10491,"Middlebury, Vermont"
20480,14.1,44789,"Los Angeles, California"
20481,14.1,7846,"Des Moines, Iowa"
20482,14.1,1240,"Parshall, North Dakota"
20483,14.1,11125,"San Antonio, Texas"
20484,14.1,636,"Midvale, Idaho"
20485,14.1,187,"Zoar, Ohio"
20486,14.1,13571,"Oklahoma City, Oklahoma"
20487,14.1,387,"Mode, Illinois"
20488,14.1,2932,"Lake Hughes, California"
20489,14.1,9202,"College Place, Washington"
20490,14.1,17413,"Evansville, Indiana"
20491,14.1,1169,"Kiowa, Kansas"
20492,14.1,30524,"Lake Stevens, Washington"
20493,14.1,2031,"Verndale, Minnesota"
20494,14.1,4117,"Fox Lake, Wisconsin"
20495,14.1,26944,"Tacoma, Washington"
20496,14.1,840,"Nassawadox, Virginia"
20497,14.1,7117,"Wautoma, Wisconsin"
20498,14.1,5927,"Seven Valleys, Pennsylvania"
20499,14.1,23223,"Pasadena, Texas"
20500,14.1,27341,"Kansas City, Missouri"
20501,14.1,503,"Haverhill, New Hampshire"
20502,14.1,259,"North Hudson, New York"
20503,14.1,2723,"Bowdoinham, Maine"
20504,14.1,3200,"Wilson, New York"
20505,14.1,197,"Metaline, Washington"
20506,14.1,3847,"Portland, Oregon"
20507,14.1,140,"Pineola, North Carolina"
20508,14.1,355,"Dearing, Kansas"
20509,14.1,13778,"Moscow, Pennsylvania"
20510,14.1,54962,"Fredericksburg, Virginia"
20511,14.1,432,"West Oneonta, New York"
20512,14.1,3268,"Ulster Park, New York"
20513,14.1,39816,"Auburn, Washington"
20514,14.1,4082,"Matamoras, Pennsylvania"
20515,14.1,13794,"East Bridgewater, Massachusetts"
20516,14.1,2212,"Harrisburg, Pennsylvania"
20517,14.1,48938,"College Station, Texas"
20518,14.1,4334,"Lyons, Kansas"
20519,14.1,4386,"Markesan, Wisconsin"
20520,14.1,1150,"White Deer, Texas"
20521,14.1,2586,"Alto, New Mexico"
20522,14.1,22140,"Salt Lake City, Utah"
20523,14.1,3470,"Wagner, South Dakota"
20524,14.1,1747,"Belt, Montana"
20525,14.1,5711,"Brentwood, Maryland"
20526,14.1,51165,"Upland, California"
20527,14.1,127,"Weyanoke, Louisiana"
20528,14.1,5476,"Cincinnati, Ohio"
20529,14.1,4354,"Mc Gaheysville, Virginia"
20530,14.1,289,"Stovall, North Carolina"
20531,14.1,726,"Gray Summit, Missouri"
20532,14.1,1498,"North Salem, Indiana"
20533,14.1,963,"Montalba, Texas"
20534,14.1,5498,"Hidden Valley Lake, California"
20535,14.1,3893,"Tobaccoville, North Carolina"
20536,14.1,19007,"Glendale, Arizona"
20537,14.1,52,"Port Alexander, Alaska"
20538,14.1,1638,"West Burke, Vermont"
20539,14.1,28552,"Portage, Michigan"
20540,14.1,1004,"Newsoms, Virginia"
20541,14.1,22174,"Davenport, Iowa"
20542,14.1,63,"Woosung, Illinois"
20543,14.1,9585,"Bellville, Texas"
20544,14.1,1372,"Iona, Idaho"
20545,14.1,9581,"Hughson, California"
20546,14.1,15534,"Somerset, Massachusetts"
20547,14.1,1717,"Butternut, Wisconsin"
20548,14.1,25356,"Jacksonville Beach, Florida"
20549,14.1,17847,"Mobile, Alabama"
20550,14.1,1150,"White Deer, Texas"
20551,14.1,652,"Salyer, California"
20552,14.1,38587,"Albuquerque, New Mexico"
20553,14.1,523,"Grapeville, Pennsylvania"
20554,14.1,17376,"Fairview Heights, Illinois"
20555,14.1,1661,"Cove, Oregon"
20556,14.1,3682,"Sautee Nacoochee, Georgia"
20557,14.1,730,"Vershire, Vermont"
20558,14.1,2597,"Sherrard, Illinois"
20559,14.1,7302,"Saint Augustine, Florida"
20560,14.1,257,"Huntington Mills, Pennsylvania"
20561,14.1,2144,"Orland, Maine"
20562,14.1,3232,"Napanoch, New York"
20563,14.1,7093,"Clifton, Texas"
20564,14.1,5016,"Munroe Falls, Ohio"
20565,14.1,1380,"Bertha, Minnesota"
20566,14.1,5011,"Delta Junction, Alaska"
20567,14.1,31911,"Auburn, Washington"
20568,14.1,173,"Stevensville, Virginia"
20569,14.1,4362,"Norton, Kansas"
20570,14.1,51165,"Upland, California"
20571,14.1,1194,"Fleischmanns, New York"
20572,14.1,885,"Forest Falls, California"
20573,14.1,7686,"Leesport, Pennsylvania"
20574,14.1,963,"Montalba, Texas"
20575,14.1,3490,"Weyers Cave, Virginia"
20576,14.1,1381,"Freehold, New York"
20577,14.1,303,"Sheffield, Texas"
20578,14.1,14875,"Philadelphia, Pennsylvania"
20579,14.1,1719,"Hemlock, New York"
20580,14.1,2427,"Glasford, Illinois"
20581,14.1,136,"Shawnee on Delaware, Pennsylvania"
20582,14.1,5268,"Running Springs, California"
20583,14.1,326,"Wilburton, Pennsylvania"
20584,14.1,3651,"Frewsburg, New York"
20585,14.1,883,"Bear River City, Utah"
20586,14.1,549,"Arrowsmith, Illinois"
20587,14.1,2341,"La Jara, Colorado"
20588,14.1,15329,"Westminster, Colorado"
20589,14.1,672,"Marshalls Creek, Pennsylvania"
20590,14.1,79,"Chatsworth, Iowa"
20591,14.1,5094,"Big Bear Lake, California"
20592,14.1,37761,"Salem, Virginia"
20593,14.1,40393,"Kennesaw, Georgia"
20594,14.1,52,"Port Alexander, Alaska"
20595,14.1,28714,"Los Angeles, California"
20596,14.1,759,"Craigmont, Idaho"
20597,14.1,17376,"Fairview Heights, Illinois"
20598,14.1,204,"Syria, Virginia"
20599,14.1,29742,"Canon City, Colorado"
20600,14.1,474,"Holden, Utah"
20601,14.1,7211,"Shirley, Massachusetts"
20602,14.1,932,"Cloverdale, Virginia"
20603,14.1,490,"Ryegate, Montana"
20604,14.1,373,"Bainville, Montana"
20605,14.1,18097,"Franklin Park, Illinois"
20606,14.1,1033,"Hope, Idaho"
20607,14.1,1139,"Spruce, Michigan"
20608,14.1,101,"Pricedale, Pennsylvania"
20609,14.1,403,"Clemons, New York"
20610,14.1,982,"East Burke, Vermont"
20611,14.1,26262,"Litchfield Park, Arizona"
20612,14.1,13043,"Port Neches, Texas"
20613,14.1,4315,"Oklahoma City, Oklahoma"
20614,14.1,26577,"Derby, Kansas"
20615,14.1,935,"Rio Oso, California"
20616,14.1,21871,"Elgin, South Carolina"
20617,14.1,24053,"East Moline, Illinois"
20618,14.1,8313,"Old Forge, Pennsylvania"
20619,14.1,34232,"Battle Ground, Washington"
20620,14.1,609,"Rociada, New Mexico"
20621,14.1,3053,"Oklahoma City, Oklahoma"
20622,14.1,1990,"Hana, Hawaii"
20623,14.1,558,"Matthews, Indiana"
20624,14.1,255,"Vona, Colorado"
20625,14.1,7459,"Baldwin City, Kansas"
20626,14.1,2248,"North Oxford, Massachusetts"
20627,14.1,22406,"Royse City, Texas"
20628,14.1,7383,"Boston, Massachusetts"
20629,14.1,3883,"Hotchkiss, Colorado"
20630,14.1,37131,"Salem, Oregon"
20631,14.1,445,"Keswick, Iowa"
20632,14.0,837,"Niantic, Illinois"
20633,14.0,344,"Seltzer, Pennsylvania"
20634,14.0,2137,"Nashville, Tennessee"
20635,14.0,326,"Mayfield, Kansas"
20636,14.0,1410,"Fort Johnson, New York"
20637,14.0,16196,"North Salt Lake, Utah"
20638,14.0,13897,"Mechanicville, New York"
20639,14.0,22472,"Youngstown, Ohio"
20640,14.0,1096,"Abiquiu, New Mexico"
20641,14.0,481,"Mingus, Texas"
20642,14.0,21945,"Commerce Township, Michigan"
20643,14.0,13105,"Fort Madison, Iowa"
20644,14.0,907,"San Jose, Illinois"
20645,14.0,266,"Dutch John, Utah"
20646,14.0,14305,"La Crosse, Wisconsin"
20647,14.0,250,"Hillsboro, New Mexico"
20648,14.0,154,"Valley Spring, Texas"
20649,14.0,1271,"Brownville, New York"
20650,14.0,1909,"Ahwahnee, California"
20651,14.0,1371,"Plain, Wisconsin"
20652,14.0,3834,"Meeker, Colorado"
20653,14.0,777,"Avon, North Carolina"
20654,14.0,330,"Browns, Illinois"
20655,14.0,6991,"Carrollton, Virginia"
20656,14.0,401,"London, Texas"
20657,14.0,946,"Cambridge, Idaho"
20658,14.0,85,"Cohagen, Montana"
20659,14.0,390,"Ocotillo, California"
20660,14.0,1689,"Burrton, Kansas"
20661,14.0,446,"Hudson, Wyoming"
20662,14.0,625,"Rice, Washington"
20663,14.0,10344,"Bogart, Georgia"
20664,14.0,278,"Clayville, Rhode Island"
20665,14.0,385,"Verona Beach, New York"
20666,14.0,1131,"Ninilchik, Alaska"
20667,14.0,185,"Hawthorne, Wisconsin"
20668,14.0,17558,"Henrico, Virginia"
20669,14.0,12079,"Fort Lupton, Colorado"
20670,14.0,161,"Sweet Home, Texas"
20671,14.0,554,"Bovina Center, New York"
20672,14.0,2615,"Plainville, Kansas"
20673,14.0,5948,"Greene, New York"
20674,14.0,2099,"Pine Mountain Club, California"
20675,14.0,7282,"Schuyler, Nebraska"
20676,14.0,21343,"Richland, Washington"
20677,14.0,17987,"Denver, Colorado"
20678,14.0,29732,"Faribault, Minnesota"
20679,14.0,61347,"New York, New York"
20680,14.0,1121,"Equinunk, Pennsylvania"
20681,14.0,2869,"Moweaqua, Illinois"
20682,14.0,780,"Keno, Oregon"
20683,14.0,34299,"Houston, Texas"
20684,14.0,6101,"Otis Orchards, Washington"
20685,14.0,17228,"Hibbing, Minnesota"
20686,14.0,1676,"Andale, Kansas"
20687,14.0,656,"Hysham, Montana"
20688,14.0,15227,"Ashland, Virginia"
20689,14.0,2111,"Church Hill, Maryland"
20690,14.0,19880,"Beacon, New York"
20691,14.0,9534,"Port Charlotte, Florida"
20692,14.0,387,"Lorane, Oregon"
20693,14.0,783,"Cowley, Wyoming"
20694,14.0,6111,"Manteo, North Carolina"
20695,14.0,393,"Agra, Kansas"
20696,14.0,1232,"Albany, Illinois"
20697,14.0,108,"Satin, Texas"
20698,14.0,1465,"Canton, Kansas"
20699,14.0,76615,"Bellflower, California"
20700,14.0,48068,"Pomona, California"
20701,14.0,2451,"Tivoli, New York"
20702,14.0,522,"Rio Nido, California"
20703,14.0,12283,"ZCTA 98205, Washington"
20704,14.0,3770,"Hurdle Mills, North Carolina"
20705,14.0,53687,"Jamaica, New York"
20706,14.0,239,"Missouri City, Missouri"
20707,14.0,1502,"Derby Line, Vermont"
20708,14.0,3795,"Wray, Colorado"
20709,14.0,52606,"Yucaipa, California"
20710,14.0,32811,"Santa Paula, California"
20711,14.0,30108,"Niceville, Florida"
20712,14.0,1550,"Floodwood, Minnesota"
20713,14.0,833,"Lakeville, New York"
20714,14.0,192,"Sumner, Missouri"
20715,14.0,40267,"Redlands, California"
20716,14.0,7823,"Fairfield, Pennsylvania"
20717,14.0,1920,"Bethany, Illinois"
20718,14.0,6522,"Mount Vernon, Texas"
20719,14.0,9641,"Pueblo, Colorado"
20720,14.0,2181,"Almond, Wisconsin"
20721,14.0,2903,"Paige, Texas"
20722,14.0,14884,"Two Rivers, Wisconsin"
20723,14.0,2935,"Halstead, Kansas"
20724,14.0,2583,"Catlin, Illinois"
20725,14.0,242,"Esmond, Illinois"
20726,14.0,30714,"Harrisburg, Pennsylvania"
20727,14.0,5368,"Freeville, New York"
20728,14.0,3440,"Barnum, Minnesota"
20729,14.0,69752,"Parkville, Maryland"
20730,14.0,1715,"Philo, Illinois"
20731,14.0,741,"Potwin, Kansas"
20732,14.0,63448,"Berwyn, Illinois"
20733,14.0,51899,"Newark, Delaware"
20734,14.0,2731,"East New Market, Maryland"
20735,14.0,42780,"Brighton, Massachusetts"
20736,14.0,44264,"Endicott, New York"
20737,14.0,22544,"Reading, Pennsylvania"
20738,14.0,27585,"Tujunga, California"
20739,14.0,18756,"Washington, Utah"
20740,14.0,3795,"Greenville, New York"
20741,14.0,421,"Bingham Lake, Minnesota"
20742,14.0,24207,"Chesterton, Indiana"
20743,14.0,22789,"Saint Louis, Montana"
20744,14.0,10141,"Pittsburgh, Pennsylvania"
20745,14.0,1567,"Oregon House, California"
20746,14.0,55909,"Staten Island, New York"
20747,14.0,407,"Hall, Montana"
20748,14.0,31733,"Lincoln, Nebraska"
20749,14.0,1629,"Willow River, Minnesota"
20750,14.0,527,"Girdletree, Maryland"
20751,14.0,1541,"Kechi, Kansas"
20752,14.0,9584,"Rawlins, Wyoming"
20753,14.0,33008,"Concord, New Hampshire"
20754,14.0,395,"Branchville, Virginia"
20755,14.0,22507,"Beaver Dam, Wisconsin"
20756,14.0,3699,"Springville, California"
20757,14.0,9075,"Gunnison, Colorado"
20758,14.0,2651,"Ellis, Kansas"
20759,14.0,2027,"Union Springs, New York"
20760,14.0,545,"Hobson, Texas"
20761,14.0,347,"Pimento, Indiana"
20762,14.0,4627,"Ferdinand, Indiana"
20763,14.0,10699,"Richland Center, Wisconsin"
20764,14.0,67,"Paris, Maine"
20765,14.0,76,"Estes Park, Colorado"
20766,14.0,656,"Hysham, Montana"
20767,14.0,9270,"Saint Francis, Wisconsin"
20768,14.0,3789,"Remsen, New York"
20769,14.0,3369,"Willard, Utah"
20770,14.0,2242,"Cherry Valley, Massachusetts"
20771,14.0,125,"Parker Ford, Pennsylvania"
20772,14.0,1988,"Margaretville, New York"
20773,14.0,18985,"Reading, Pennsylvania"
20774,14.0,7543,"Tulsa, Oklahoma"
20775,14.0,25729,"Menasha, Wisconsin"
20776,14.0,961,"Blodgett, Oregon"
20777,14.0,1218,"China, Texas"
20778,14.0,1096,"Easton, Missouri"
20779,14.0,388,"Bluffton, Minnesota"
20780,14.0,1661,"Mountain Center, California"
20781,14.0,37002,"Perrysburg, Ohio"
20782,14.0,861,"Pacific City, Oregon"
20783,14.0,911,"Bath, New Hampshire"
20784,14.0,326,"Campo, Colorado"
20785,14.0,992,"Dulzura, California"
20786,14.0,666,"Waggoner, Illinois"
20787,14.0,209,"Garrison, Montana"
20788,14.0,9066,"Florence, Colorado"
20789,14.0,257,"York New Salem, Pennsylvania"
20790,14.0,73047,"Woodbridge, Virginia"
20791,14.0,559,"Craigville, Indiana"
20792,14.0,14776,"Saint Paul, Minnesota"
20793,14.0,44327,"Fort Lauderdale, Florida"
20794,14.0,384,"Clyman, Wisconsin"
20795,14.0,1119,"Claflin, Kansas"
20796,14.0,625,"Rice, Washington"
20797,14.0,465,"Rush Center, Kansas"
20798,14.0,3190,"Saluda, Virginia"
20799,14.0,50502,"Bronx, New York"
20800,14.0,29478,"Tampa, Florida"
20801,14.0,429,"Glen Haven, Wisconsin"
20802,14.0,717,"Rochelle, Texas"
20803,14.0,94382,"Katy, Texas"
20804,14.0,2903,"Paige, Texas"
20805,14.0,242,"Esmond, Illinois"
20806,14.0,8621,"Wickenburg, Arizona"
20807,14.0,383,"Ellery, Illinois"
20808,14.0,40827,"New Rochelle, New York"
20809,14.0,69,"Woodford, Wisconsin"
20810,14.0,5343,"Poland, Maine"
20811,14.0,42796,"Chandler, Arizona"
20812,14.0,3162,"Windham, Connecticut"
20813,14.0,1107,"Vaughn, Washington"
20814,14.0,24821,"Denver, Colorado"
20815,14.0,277,"Claryville, New York"
20816,14.0,5181,"Gold Beach, Oregon"
20817,14.0,19970,"Waterloo, Iowa"
20818,14.0,7585,"Alto, Michigan"
20819,14.0,1502,"Arapahoe, North Carolina"
20820,14.0,26475,"New Orleans, Louisiana"
20821,14.0,187,"Encino, New Mexico"
20822,14.0,24469,"Ashland, Oregon"
20823,14.0,15941,"Kingsburg, California"
20824,14.0,3902,"Redgranite, Wisconsin"
20825,14.0,3625,"Bellevue, Idaho"
20826,14.0,910,"Weyerhaeuser, Wisconsin"
20827,14.0,609,"Cinebar, Washington"
20828,14.0,894,"Fowler, Kansas"
20829,14.0,125,"Greenfield, Oklahoma"
20830,14.0,5402,"Montross, Virginia"
20831,14.0,811,"Ridott, Illinois"
20832,14.0,172,"Elvaston, Illinois"
20833,14.0,2994,"Suquamish, Washington"
20834,14.0,4052,"Clinton, Wisconsin"
20835,14.0,30690,"Deer Park, Texas"
20836,14.0,453,"Saint Michael, Pennsylvania"
20837,14.0,291,"Cedar, Iowa"
20838,14.0,4131,"Bellaire, Michigan"
20839,14.0,4276,"South China, Maine"
20840,14.0,209,"Garrison, Montana"
20841,14.0,5283,"Ransomville, New York"
20842,14.0,1285,"Endeavor, Wisconsin"
20843,14.0,655,"Savage, Montana"
20844,14.0,617,"Jefferson City, Montana"
20845,14.0,53926,"New York, New York"
20846,14.0,31698,"Lakeland, Florida"
20847,14.0,8203,"Pratt, Kansas"
20848,14.0,50014,"Gilbert, Arizona"
20849,14.0,11045,"Prince Frederick, Maryland"
20850,14.0,19685,"Pittsburgh, Pennsylvania"
20851,14.0,1915,"St John, Kansas"
20852,14.0,63,"Alamance, North Carolina"
20853,14.0,17814,"Brooksville, Florida"
20854,14.0,7009,"Oregon, Illinois"
20855,14.0,9922,"Abingdon, Virginia"
20856,14.0,17335,"Portland, Maine"
20857,14.0,295,"Mc Intosh, South Dakota"
20858,14.0,8148,"Finleyville, Pennsylvania"
20859,14.0,659,"Briggsdale, Colorado"
20860,14.0,161,"New Kingston, New York"
20861,14.0,251,"Lorraine, Kansas"
20862,14.0,3185,"New Kent, Virginia"
20863,14.0,43173,"Dubuque, Iowa"
20864,14.0,45023,"Durham, North Carolina"
20865,14.0,30613,"Cape Coral, Florida"
20866,14.0,8427,"Viroqua, Wisconsin"
20867,14.0,4448,"Somonauk, Illinois"
20868,14.0,397,"Big Indian, New York"
20869,14.0,1099,"Grand Junction, Iowa"
20870,14.0,25984,"Saint Cloud, Minnesota"
20871,14.0,20798,"Carlisle, Pennsylvania"
20872,14.0,543,"Adamsburg, Pennsylvania"
20873,14.0,13384,"Reedsburg, Wisconsin"
20874,14.0,11108,"Sebring, Florida"
20875,14.0,210,"Forsan, Texas"
20876,14.0,331,"Lake Creek, Texas"
20877,14.0,22719,"Reading, Pennsylvania"
20878,14.0,1443,"Boykins, Virginia"
20879,14.0,28615,"Pittsburgh, Pennsylvania"
20880,14.0,1348,"Mertzon, Texas"
20881,14.0,536,"Paris, Idaho"
20882,14.0,5387,"Natalia, Texas"
20883,14.0,6063,"Marshall, Wisconsin"
20884,14.0,1167,"Greensburg, Kansas"
20885,14.0,822,"Maquon, Illinois"
20886,14.0,3336,"Baldwinville, Massachusetts"
20887,14.0,47510,"Federal Way, Washington"
20888,14.0,76,"Estes Park, Colorado"
20889,14.0,46377,"Santa Cruz, California"
20890,14.0,32277,"Lubbock, Texas"
20891,14.0,31816,"Bradenton, Florida"
20892,14.0,34924,"Lawndale, California"
20893,14.0,4042,"Livingston Manor, New York"
20894,14.0,3609,"Brimfield, Massachusetts"
20895,14.0,198,"Surprise, New York"
20896,14.0,280,"Cropsey, Illinois"
20897,14.0,9822,"Attica, New York"
20898,14.0,1049,"Westminster, Vermont"
20899,14.0,860,"Newark, Maryland"
20900,14.0,13959,"Hebron, Kentucky"
20901,14.0,36735,"Long Beach, California"
20902,14.0,3385,"Accord, New York"
20903,14.0,282,"Rico, Colorado"
20904,14.0,9592,"Douglas, Wyoming"
20905,14.0,27951,"Enid, Oklahoma"
20906,14.0,2517,"Chichester, New Hampshire"
20907,14.0,3479,"Dinwiddie, Virginia"
20908,14.0,4956,"Ingram, Texas"
20909,14.0,1065,"Loganville, Wisconsin"
20910,14.0,105,"Elwin, Illinois"
20911,14.0,3397,"Randolph, Wisconsin"
20912,14.0,2309,"Fraser, Colorado"
20913,14.0,1838,"Rozet, Wyoming"
20914,14.0,147,"Thatcher, Idaho"
20915,14.0,8806,"Belfast, Maine"
20916,14.0,13812,"Souderton, Pennsylvania"
20917,14.0,18936,"Bowling Green, Kentucky"
20918,14.0,896,"Unionville, New York"
20919,14.0,661,"Chesterfield, Massachusetts"
20920,14.0,7109,"Brewerton, New York"
20921,14.0,65,"Union Hill, Illinois"
20922,14.0,2017,"Hazleton, Iowa"
20923,14.0,2916,"Lacon, Illinois"
20924,14.0,272,"Ukiah, Oregon"
20925,14.0,763,"Readsboro, Vermont"
20926,14.0,1229,"Raymond, California"
20927,14.0,1258,"Madison, Kansas"
20928,14.0,104,"Pelican, Alaska"
20929,14.0,2974,"Henry, Illinois"
20930,14.0,46369,"San Marcos, California"
20931,14.0,3820,"Seymour, Texas"
20932,14.0,1036,"Prattsville, New York"
20933,14.0,561,"Kennan, Wisconsin"
20934,14.0,410,"Crabtree, Pennsylvania"
20935,14.0,17377,"Sparta, Wisconsin"
20936,14.0,36374,"Rockledge, Florida"
20937,14.0,156,"Tripler Army Medical Center, Hawaii"
20938,14.0,4603,"Newton, New Hampshire"
20939,14.0,688,"Manton, California"
20940,14.0,2644,"Greybull, Wyoming"
20941,14.0,1535,"Pembine, Wisconsin"
20942,14.0,793,"Mesa, Colorado"
20943,14.0,83,"Elmora, Pennsylvania"
20944,14.0,458,"Foster, Virginia"
20945,14.0,1665,"Cerro Gordo, Illinois"
20946,14.0,28967,"Ozone Park, New York"
20947,14.0,29320,"South Lyon, Michigan"
20948,14.0,925,"Fruitland, Iowa"
20949,14.0,1802,"Narrowsburg, New York"
20950,14.0,1100,"Weippe, Idaho"
20951,14.0,47249,"Methuen, Massachusetts"
20952,14.0,536,"Paris, Idaho"
20953,14.0,93,"Pyrites, New York"
20954,14.0,493,"Chicago, Illinois"
20955,14.0,81,"Hornitos, California"
20956,14.0,21775,"Cincinnati, Ohio"
20957,14.0,341,"Calumet, Minnesota"
20958,14.0,3604,"Westfield, Wisconsin"
20959,14.0,1979,"Lynch Station, Virginia"
20960,14.0,3600,"El Prado, New Mexico"
20961,14.0,7545,"Comanche, Texas"
20962,14.0,47405,"Elgin, Illinois"
20963,14.0,7777,"Folsom, Pennsylvania"
20964,14.0,2055,"Cripple Creek, Colorado"
20965,14.0,2092,"Ludlow, Vermont"
20966,14.0,1814,"Yachats, Oregon"
20967,14.0,1627,"Sidney, Illinois"
20968,14.0,15706,"Tracy, California"
20969,14.0,22437,"Montrose, Colorado"
20970,14.0,84,"Glen Flora, Texas"
20971,14.0,40267,"Redlands, California"
20972,14.0,16608,"Johnstown, Pennsylvania"
20973,14.0,496,"Fairbanks, Indiana"
20974,14.0,5970,"Quincy, California"
20975,14.0,11067,"Ridley Park, Pennsylvania"
20976,14.0,3898,"Tuolumne, California"
20977,14.0,771,"Pettus, Texas"
20978,14.0,1513,"Warrensburg, Illinois"
20979,14.0,24057,"Vancouver, Washington"
20980,14.0,3817,"Bergen, New York"
20981,14.0,1776,"Macon, Illinois"
20982,14.0,7124,"Colona, Illinois"
20983,14.0,760,"Ronald, Washington"
20984,14.0,330,"Browns, Illinois"
20985,14.0,33653,"Chesapeake, Virginia"
20986,14.0,4433,"Newbury, Ohio"
20987,14.0,786,"Eldred, New York"
20988,14.0,1422,"Wakefield, Kansas"
20989,14.0,18581,"Spring Lake, Michigan"
20990,14.0,16406,"Houston, Texas"
20991,14.0,666,"Waggoner, Illinois"
20992,14.0,2544,"Oakley, Kansas"
20993,14.0,283,"Chacon, New Mexico"
20994,14.0,3294,"Pittsburgh, Pennsylvania"
20995,14.0,696,"Trumbauersville, Pennsylvania"
20996,14.0,14227,"Nashua, New Hampshire"
20997,14.0,790,"Piermont, New Hampshire"
20998,14.0,9838,"Denison, Iowa"
20999,14.0,220,"Pennington, Minnesota"
21000,14.0,37180,"North Hollywood, California"
21001,14.0,3892,"Bridgeport, New York"
21002,14.0,1292,"Wawarsing, New York"
21003,14.0,309,"Lehigh, Kansas"
21004,14.0,2398,"Interlaken, New York"
21005,14.0,5137,"Deer River, Minnesota"
21006,14.0,2261,"Hancock, Maine"
21007,14.0,6076,"Foresthill, California"
21008,14.0,8533,"Hayesville, North Carolina"
21009,14.0,1637,"McCammon, Idaho"
21010,14.0,17020,"Windham, Maine"
21011,14.0,6291,"Wolfforth, Texas"
21012,14.0,641,"Edwall, Washington"
21013,14.0,23058,"Tucson, Arizona"
21014,14.0,5035,"Barboursville, Virginia"
21015,14.0,364,"Orchard, Iowa"
21016,14.0,88,"Polebridge, Montana"
21017,14.0,21454,"Nederland, Texas"
21018,14.0,4698,"Yuma, Colorado"
21019,14.0,60254,"North Hills, California"
21020,14.0,17341,"Emmaus, Pennsylvania"
21021,14.0,301,"Lane City, Texas"
21022,14.0,113,"Cherry Plain, New York"
21023,14.0,2725,"Oriskany, New York"
21024,14.0,812,"Jordan, Montana"
21025,14.0,1793,"Lyndon, Kansas"
21026,14.0,78895,"Brooklyn, New York"
21027,14.0,4084,"Schuylerville, New York"
21028,14.0,757,"Axtell, Kansas"
21029,14.0,33109,"Louisville, Kentucky"
21030,14.0,48685,"Houston, Texas"
21031,14.0,4069,"Haubstadt, Indiana"
21032,13.9,25366,"Sebastian, Florida"
21033,13.9,1405,"Stafford, Kansas"
21034,13.9,368,"Minneapolis, Minnesota"
21035,13.9,1266,"Old Forge, New York"
21036,13.9,2181,"Auburndale, Wisconsin"
21037,13.9,36408,"Birmingham, Alabama"
21038,13.9,447,"Bazine, Kansas"
21039,13.9,427,"Ford, Kansas"
21040,13.9,29945,"Stanton, California"
21041,13.9,2330,"Monona, Iowa"
21042,13.9,33154,"Mesa, Arizona"
21043,13.9,7179,"Brush, Colorado"
21044,13.9,25212,"Tucson, Arizona"
21045,13.9,13121,"Green River, Wyoming"
21046,13.9,17135,"Parrish, Florida"
21047,13.9,77,"Marionville, Virginia"
21048,13.9,39858,"Mesa, Arizona"
21049,13.9,66954,"Beaverton, Oregon"
21050,13.9,10150,"Madisonville, Louisiana"
21051,13.9,341,"Hungerford, Texas"
21052,13.9,3635,"De Leon, Texas"
21053,13.9,1998,"Quilcene, Washington"
21054,13.9,2003,"Derby, Vermont"
21055,13.9,1805,"Solomon, Kansas"
21056,13.9,1147,"Palo Pinto, Texas"
21057,13.9,448,"Clark, Pennsylvania"
21058,13.9,96,"Bynum, Montana"
21059,13.9,2262,"Amlin, Ohio"
21060,13.9,96,"Bynum, Montana"
21061,13.9,73,"Westerville, Nebraska"
21062,13.9,249,"Adrian, Texas"
21063,13.9,261,"Longview, Illinois"
